relative_path,filename,extension,size_bytes,modified_at,sha256,classification,content_status,evidence_status
dokumenEPelara/19. Pedoman-Arsitektur-Pagu-Cached-dan-Integrasi-RPJMD-ePelara.md,19. Pedoman-Arsitektur-Pagu-Cached-dan-Integrasi-RPJMD-ePelara.md,.md,5795,2026-04-29T16:41:56+00:00,7d7c4d702d7931b8137fa2fd24b8e0276937c9bd0c847ef4b676329e9c18dace,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/20. Pedoman-Arsitektur-Data-RPJMD-Renstra-ePelara.md,20. Pedoman-Arsitektur-Data-RPJMD-Renstra-ePelara.md,.md,25316,2026-05-02T02:02:24+00:00,b275465acdad410f14210c53d229b06fea1d28b43fb9043230df15631da1532e,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/21.Pedoman-Implementasi-Lanjutan-Renstra-Pagu-Lock-Export-Audit-Validasi-ePelara.md,21.Pedoman-Implementasi-Lanjutan-Renstra-Pagu-Lock-Export-Audit-Validasi-ePelara.md,.md,4520,2026-05-03T02:14:23+00:00,157df6ebb2b8a0eef23387e323f256ef5e4575afb9d7018677434eab036a6e54,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/22.FORM BLUEPRINT MR e-Pelara.md,22.FORM BLUEPRINT MR e-Pelara.md,.md,742394,2026-05-28T00:08:51+00:00,1d17e3b5a5e09fe3b018b881f2fe4b3bca791047601d4bcf4057a55c285c7cfd,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/23.FORM ROADMAP MR e-Pelara.md,23.FORM ROADMAP MR e-Pelara.md,.md,562709,2026-05-28T00:09:06+00:00,c7a0b7c8c55c690a56cd01f92b2251a065f9bd3c5801f47c6cd879de69b287e2,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/24.FORM PROMPT TEKNIS MR e-Pelara.md,24.FORM PROMPT TEKNIS MR e-Pelara.md,.md,609466,2026-05-28T00:09:24+00:00,95e0d6b447dac12fd7096910824be0eec7f6332e4a37648e28cf0970623ae72a,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/25.Rencana-Implementasi-Teknis-PHASE-RPJMD-RENSTRA-GOVERNANCE-HUB_UPDATED-AUDIT-AKTUAL-FINAL.md,25.Rencana-Implementasi-Teknis-PHASE-RPJMD-RENSTRA-GOVERNANCE-HUB_UPDATED-AUDIT-AKTUAL-FINAL.md,.md,387073,2026-05-21T18:44:38+00:00,15d71c33397dd1bcf677fa7a1f4f6b672d2b98755ecf51e5f13db2026d368cca,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/26.AUDIT-FORMAL-DESAIN-ENDPOINT-REPAIR-DRAFT-MR.md,26.AUDIT-FORMAL-DESAIN-ENDPOINT-REPAIR-DRAFT-MR.md,.md,4695,2026-05-26T20:53:50+00:00,47799058edfedca5ace0673f904b512e9125202954624752021c98ac96d5d4bd,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/27.BUKTI-REGRESSION-E2E-INTEGRITY-REPAIR.md,27.BUKTI-REGRESSION-E2E-INTEGRITY-REPAIR.md,.md,1325,2026-05-26T21:02:40+00:00,89c91f38ebae6705ec5e397358fbf6ea357b8759a8db952d77c1fcdb505efec8,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/28. Draft Renja Dishut TA 2027 20 7 2026.docx,28. Draft Renja Dishut TA 2027 20 7 2026.docx,.docx,3220786,2026-07-30T00:00:50+00:00,1d95a17fbbfdbc63f6bf60fde17aa4391d76d82da173acedf7ae3c27679349c9,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/29. Permendagri No. 14 Tahun 2026.pdf,29. Permendagri No. 14 Tahun 2026.pdf,.pdf,1439306,2026-07-29T06:41:00+00:00,6175d5dfdeaff3bebbc16d32b1a8b3612624b733459c72647535bf08388778cb,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/30. ROADMAP IMPLEMENTASI PENATAUSAHAAN KEUANGAN OPD DI e-PELARA.md,30. ROADMAP IMPLEMENTASI PENATAUSAHAAN KEUANGAN OPD DI e-PELARA.md,.md,41938,2026-05-28T15:33:47+00:00,71826c7508cab2df3f31fb5ab0618139e66cf1044c4e51573feec4cb76ee93c6,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/30.cover_renstra_pangan.png,30.cover_renstra_pangan.png,.png,2749242,2026-07-31T01:34:29+00:00,fc4c980d390b0d79915862bb45f484e118301f760896afdb0611c01c2652979c,Repository document candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/36-laporan-komprehensif-arsitektur-dashboard-dan-implementasi-prioritas-1-4.md,36-laporan-komprehensif-arsitektur-dashboard-dan-implementasi-prioritas-1-4.md,.md,69672,2026-03-25T00:30:20+00:00,434369f35053b841519f6dcf90ce483b4d29b502e4a0bcef65339f93097b47b6,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/37-Analisis-Modul-Belum-Recall-Data-Rekomendasi-Tindak-Lanjut.md,37-Analisis-Modul-Belum-Recall-Data-Rekomendasi-Tindak-Lanjut.md,.md,10560,2026-08-02T09:41:06+00:00,4e334fbce49ef4dbbb282933e71e8614bcbf389cd559e8c43e809f1a6204d771,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/38. e-PeLARA — GUARD MASTER PROMPT,38. e-PeLARA — GUARD MASTER PROMPT,. e-pelara — guard master prompt,48032,2026-08-13T23:55:08+00:00,9d1d1ab487d9f40f4d13c1b1555d768fe063eedef2e7b3547e383d69e6e47fca,Repository document candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/6-Laporan-Hasil-Audit-Renstra-Rkpd-Renja.md,6-Laporan-Hasil-Audit-Renstra-Rkpd-Renja.md,.md,6116,2026-04-08T13:44:38+00:00,0e4b21356ba102a41275dc508ffc7f86291a27374a1db42c13a72defc1329c04,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/7-SPEC-REGULASI-KEPMENDAGRI-900-2024-ePelara.md,7-SPEC-REGULASI-KEPMENDAGRI-900-2024-ePelara.md,.md,22541,2026-04-09T12:33:17+00:00,909ad3b149e518fd576731d918720d2187dee5e9b20b3bc920fb59318ff1dadb,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/8. FINAL_CAPAIAN_CURSOR_AI_RPJMD.md,8. FINAL_CAPAIAN_CURSOR_AI_RPJMD.md,.md,5332,2026-04-15T15:23:18+00:00,d9d92488c0f5bf040208e4a15d59370236d8ec10aeb563dd0fdcb5ec8d99b063,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/9. LAPORAN-DETAIL-DATA-MASTER-KEPMENDAGRI-PROVINSI-NORMALIZED-DAN-INTEGRASI-ePeLARA.md,9. LAPORAN-DETAIL-DATA-MASTER-KEPMENDAGRI-PROVINSI-NORMALIZED-DAN-INTEGRASI-ePeLARA.md,.md,10182,2026-04-22T18:31:19+00:00,54ffbbd09ba9b44737c12ed6ff6e0988a31fc377e211e2a5c423ae2d924dd9aa,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/00-Architecture-Charter.md,00-Architecture-Charter.md,.md,27808,2026-08-04T03:21:36+00:00,c94da4b60c6feca0a36b5747b2d2b2d8d417d2374be787cfa99d7b0a04557a78,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/01-Repository-Structure.md,01-Repository-Structure.md,.md,37614,2026-08-05T11:40:02+00:00,3dd8bdc3b1a00ee49a3019dea61d01555bc333e0b9166675b54334b113cec148,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/03-Architecture-Issue-Register.md,03-Architecture-Issue-Register.md,.md,43433,2026-08-29T08:32:16+00:00,9c185dece31e376bb24acc31ef3489787ea842abc8b3281492505218f58b8aaa,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/04-Architecture-Risk-Register.md,04-Architecture-Risk-Register.md,.md,23518,2026-08-04T03:21:42+00:00,dddf4b736000bc0c16f05603cfd0db911f64d4288e9d4a0482812490287a0ef2,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/05-Compliance-Register.md,05-Compliance-Register.md,.md,26679,2026-08-04T04:02:43+00:00,cb5352c29d95ed05be9123ec340b653be09eb22413b768ea3e00eb90d86d5634,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/06-Change-Log.md,06-Change-Log.md,.md,178873,2026-08-29T08:45:03+00:00,5b1372a872cb60d7c6475f2dd45a5cff3a9f01037878dd00c7219e0c2fe572a9,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/07-Architecture-Governance-Operating-Model.md,07-Architecture-Governance-Operating-Model.md,.md,25346,2026-08-05T11:40:13+00:00,a7accf0efaf2cc9d0a12f5afd3992db6488da3865d4c93e307224e3580bb2b8c,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/08-Architecture-Review-and-Gate-Standard.md,08-Architecture-Review-and-Gate-Standard.md,.md,27884,2026-08-05T11:40:29+00:00,c92a5a21b743a8b202cdf96299b2d838eadf4ebe1562d9ed97f255764eb93334,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/09-Traceability-Standard.md,09-Traceability-Standard.md,.md,25831,2026-08-05T11:39:30+00:00,dbbcf12c2ba4c01a11b005514d043debfe28318ec7690adf96fe85a07dbbf823,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/adr/ADR-0001-Temporal-Model-Decision.md,ADR-0001-Temporal-Model-Decision.md,.md,9498,2026-08-05T05:52:53+00:00,58d66ea4125198efe942816bfc181de1ab25ec08951a342ad70faa957a258524,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/adr/ADR-0002-Enterprise-Workflow-State-Model-Decision.md,ADR-0002-Enterprise-Workflow-State-Model-Decision.md,.md,16011,2026-08-05T16:51:57+00:00,44fd62d116dc03d65563591b3041daad3b8efc397ae728676dfde5949772e793,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/adr/ADR-0003-Backup-and-Disaster-Recovery-Decision.md,ADR-0003-Backup-and-Disaster-Recovery-Decision.md,.md,11559,2026-08-05T23:40:09+00:00,e0bddac157d69b28cf1294cda98d46c1c204341015faac1477e9e4f21e4a7e57,Generated/backup/temporary candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/adr/ADR-0004-SIPD-Integration-Interim-Pattern-Decision.md,ADR-0004-SIPD-Integration-Interim-Pattern-Decision.md,.md,13908,2026-08-05T23:41:16+00:00,635a2a37163b41565ab96304e8fd49001c83a55aeb77e97548c27c0b96248884,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/adr/ADR-0005-Mandatory-Generic-Workflow-Compliance-Decision.md,ADR-0005-Mandatory-Generic-Workflow-Compliance-Decision.md,.md,17007,2026-08-06T11:14:22+00:00,6c3cd79eab6e2cfa4bbcd9d99b1436136c0fab0245aae3d890638bd7421a25c9,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/00-governance/gates/G1-Gate-Decision-Record.md,G1-Gate-Decision-Record.md,.md,17137,2026-08-05T11:44:16+00:00,8271a8509a4cde5da86f0eebcbe3e2d5ec8261bae217bfc7ff617136aa618d93,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/01-current-state/1-identitas-sistem.md,1-identitas-sistem.md,.md,9664,2026-03-23T11:08:40+00:00,4b7040d21b812b38f46559ab2c003df50cfaabd22086535000917d0eac32277e,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/01-current-state/2-modul-sistem.md,2-modul-sistem.md,.md,23402,2026-03-23T11:08:40+00:00,ad4d158ac5ecb24e26db9382c7ec653f578609c0949fdea918d2f99375f89935,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/01-current-state/3-alur-logika-sistem.md,3-alur-logika-sistem.md,.md,7949,2026-03-23T09:48:34+00:00,56445888998dd5bb9e1a940ef264f1d60a9bdf2afb226451616b4549a29459b2,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/01-current-state/4-penilaian-kesesuaian-standar.md,4-penilaian-kesesuaian-standar.md,.md,19653,2026-08-29T07:31:34+00:00,d124e663a34d1d7e04745b8075966b5a05bc3b20c10c4d638328fefbc4fdaf40,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/01-current-state/5-referensi-teknis-database-api-frontend.md,5-referensi-teknis-database-api-frontend.md,.md,74154,2026-08-29T07:59:55+00:00,64656664196cdddfb875c173a7acb3e99f37bff1c1ab1f65dee3fcd98ba0daa0,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/02-business-architecture/10-Business-Architecture-Overview.md,10-Business-Architecture-Overview.md,.md,29093,2026-08-04T09:08:04+00:00,699f0ef01693df0176c28044d6943506a6106c6bd4d4430197322d129c32ead8,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/02-business-architecture/11-Business-Capability-Map.md,11-Business-Capability-Map.md,.md,32013,2026-08-04T09:47:53+00:00,13c8b690ca20e68a0857bf773385ff074618bd1f4c1c46829c343a0533800b0c,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/02-business-architecture/12-Planning-to-Accountability-Value-Streams.md,12-Planning-to-Accountability-Value-Streams.md,.md,24552,2026-08-04T10:27:37+00:00,4a44442560f69cbb49a7f33f0198b1514a4376b8afcec1e9a8a8351888b5b2fb,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/02-business-architecture/13-Government-Document-Lifecycle-Blueprint.md,13-Government-Document-Lifecycle-Blueprint.md,.md,28596,2026-08-04T10:48:40+00:00,b323862631ec31b50a2d60e22110c8d6926a2777ba43ec5f7c6442a21502e158,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/02-business-architecture/14-Roles-Authority-and-Approval-Blueprint.md,14-Roles-Authority-and-Approval-Blueprint.md,.md,34708,2026-08-04T11:17:03+00:00,393c60bee32f7cfb456d3a4a148df0aec77cd34598b99cf6ea4fe0cdd505b7f1,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/02-business-architecture/16-Regulatory-Requirement-Traceability.md,16-Regulatory-Requirement-Traceability.md,.md,29128,2026-08-04T12:42:01+00:00,cb2a7c943a6f9fe9c93d798cc6faa409dfb754e080868d7a6df6107f3c014ea8,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/18-Enterprise-Data-Architecture.md,18-Enterprise-Data-Architecture.md,.md,24289,2026-08-04T13:57:50+00:00,126baa6459920092280424a8dc52338006692672aaf957af13b89abfc2912119,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/19-Enterprise-Data-Domain-Model.md,19-Enterprise-Data-Domain-Model.md,.md,114389,2026-08-05T06:00:03+00:00,845454bc82b10389b03bcb799fa813ee40b628428ec5addfc10249201e461e45,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/20-Master-and-Reference-Data-Blueprint.md,20-Master-and-Reference-Data-Blueprint.md,.md,80030,2026-08-05T06:01:03+00:00,de8e9267d0edb2000ae433137120527ec538edd03ecd43c365497065bb4cc845,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/business-glossary/15-Business-Glossary.md,15-Business-Glossary.md,.md,34275,2026-08-04T12:02:13+00:00,adad05e08cbe4b3bcaa7c5b42908feda39cc6b85ea3d3afc1a0dcf8548e511ed,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/data-governance/24-Data-Governance-Operating-Model.md,24-Data-Governance-Operating-Model.md,.md,23396,2026-08-05T08:18:46+00:00,0838142f824be76e35cb8a1d0e70494cb2485db726f499cfaaf2d9234f1255e2,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/data-governance/25-Data-Classification-Retention-and-Privacy-Standard.md,25-Data-Classification-Retention-and-Privacy-Standard.md,.md,23148,2026-08-05T08:30:24+00:00,745e5d4cb85f349f5e8c7100f81e8f640d2e347a5058b898ace64ad6b8c115ff,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/data-governance/28-Knowledge-Lifecycle-and-Provenance-Standard.md,28-Knowledge-Lifecycle-and-Provenance-Standard.md,.md,15958,2026-08-05T09:14:07+00:00,af92c9dd3c1ada02799afc971e62b9a14c830c44a05612a330d1dc3ea7321dff,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/data-lineage/22-Data-Lineage-and-Traceability-Blueprint.md,22-Data-Lineage-and-Traceability-Blueprint.md,.md,21762,2026-08-05T07:44:13+00:00,28f56ed30690c274eeac94546cfcb4e8ea734a42a5a55da0fb187a1c6bf47c84,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/data-quality/23-Data-Quality-Standard.md,23-Data-Quality-Standard.md,.md,19507,2026-08-05T07:50:53+00:00,e381dc2d57f46347e693c5c9b25b68736e63469bb7d1a373c02b4dc3cc9e355c,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/domain-models/26-Enterprise-Knowledge-Model.md,26-Enterprise-Knowledge-Model.md,.md,19505,2026-08-05T08:41:40+00:00,74591cc5d430127ba4200955530ceb570d17a9fadbe9a8fb8cea4d0e7cee9ae8,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/Arsitektur Pengembangan e-Pelara/03-data-architecture/domain-models/27-Government-Ontology-and-Taxonomy.md,27-Government-Ontology-and-Taxonomy.md,.md,18677,2026-08-05T09:00:09+00:00,bc40529d02d57b62138fe26d70e41e109e23b6454aa14a781d92cce794251c74,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
