finding_id,baseline_ids,severity,priority,area,title,root_cause,affected_files,intended_fix,test_required,evidence_required,owner,reviewer,status_before,status_after,residual_risk,commit_refs,evidence_refs,closure_date
AUD-011,AUD-011,Critical,P0,Data Integrity,[Ref — audit Renja terpisah] Migrasi rekonsiliasi status Renja memakai logika rank yang berbeda dari resolveCurrentWorkflowStatus(),"Ditemukan di audit modul Renja & Renja Perubahan (2026-08-29, sesi sebelumnya di percakapan ini). Migrasi diklaim identik dengan resolveCurrentWorkflowStatus() tapi nyatanya berbeda — bisa menimpa status approved→rejected di produksi tanpa proses reject resmi. Detail penuh ada di transkrip audit Renja.",backend/migrations/20260807120001-reconcile-renja-approval-status-authoritative.js:85-96,"Samakan logika precedence persis dengan resolveCurrentWorkflowStatus(), bungkus transaction, JANGAN jalankan migrasi ini sampai diperbaiki.","Self-test integrasi harus require() migrasi asli, bukan menyalin ulang logika (juga dicatat sebagai AUD-033).","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-011,
AUD-012,AUD-012,Critical,P0,Security,"[Ref — audit Renja terpisah] updateDokumen Renja bisa menurunkan workflow_status lewat payload client, bypass workflow guard",Payload client di-spread setelah hasil mapping status aman di buildLegacyStatusWritePayload — client bisa kirim workflow_status langsung di PUT /dokumen/:id.,backend/controllers/planningRenjaDokumenController.js:724-728,Jangan spread payload client setelah hasil mapping status; whitelist field yang boleh ditulis client.,PUT dengan workflow_status di body dari role non-admin → status tidak berubah tanpa lewat guard resmi.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-012,
AUD-013,AUD-013,Critical,P0,Correctness,[Ref — audit Renja terpisah] 4 definisi berbeda untuk deteksi dokumen Renja Perubahan 2026 di frontend,"4 file mendefinisikan ulang logika isPerubahanRenja2026/isFormalPerubahanRenja dengan hasil berbeda, tanpa memakai util kanonik yang sudah tersedia.","frontend/src/features/renja/{components/RenjaDokumenNavTabs.jsx:31, pages/RenjaDokumenDetailPage.jsx:342, pages/RenjaComparePage.jsx:48, pages/RenjaRencanaKerjaPage.jsx:158}",Import & pakai isFormalPerubahanRenja kanonik dari RenjaDokumenNavTabs.jsx di seluruh file yang mendefinisikan ulang.,"Buka dokumen Perubahan yang sama di 4 halaman, assert flag konsisten.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-013,
AUD-014,AUD-014,High,P1,Security,"Access & refresh token JWT disimpan di localStorage, melemahkan cookie httpOnly",Backend set cookie httpOnly tapi juga mengembalikan token yang sama di body JSON; frontend menyimpannya ke localStorage. Proteksi httpOnly jadi tidak relevan karena jalur paralel ini.,"backend/controllers/authController.js:140-145,240-245; frontend/src/contexts/AuthProvider.jsx:43,72",Hentikan pengembalian token di body JSON untuk alur cookie-based; andalkan httpOnly cookie + CSRF double-submit yang sudah ada. Perubahan arsitektural lintas modul.,Verifikasi login/refresh/logout tetap berfungsi tanpa token di localStorage.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-014,
AUD-015,AUD-015,High,P1,Security,forgot-password mengembalikan reset token/URL langsung di response saat NODE_ENV != production,"Karena belum ada SMTP, response forgot-password menyertakan resetUrl mentah untuk email manapun saat non-production, termasuk email yang bukan milik pemanggil.",backend/controllers/authController.js:319-362,Jangan pernah kirim token reset di response API meski non-production; gunakan skrip admin/log server-side terpisah untuk testing.,Response forgot-password tidak pernah mengandung field token/resetUrl di environment manapun.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-015,
AUD-016,AUD-016,High,P1,Security,Socket.io menerima role & userId dari client tanpa autentikasi untuk join room,socket.handshake.query.role/userId dipakai langsung untuk socket.join() tanpa verifikasi token — siapa pun bisa join room role SUPER_ADMIN atau user manapun.,"backend/server.js:676-686; backend/services/notificationService.js:41,75","Verifikasi JWT pada handshake Socket.io (io.use() middleware), derive role/userId dari token terverifikasi.",Connect dengan role/userId palsu tanpa token valid → ditolak/tidak menerima event privat.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-016,
AUD-017,AUD-017,High,P1,Security,"Tabel finansial inti (dpa, lk_dispang) tidak punya kolom tenant_id","Berbeda dari modul lain yang sudah tenant-aware, model Dpa & LkDispang tidak punya tenant_id/asosiasi Tenant sama sekali — hanya diikat ke periode_id.",backend/models/dpaModel.js; backend/models/lkDispangModel.js; backend/controllers/dashboardLkdController.js,Konfirmasi ke produk apakah modul ini dimaksud tenant-scoped; jika ya tambahkan tenant_id + whitelist.,Isolasi tenant A tidak bisa baca dpa/lk_dispang tenant B.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-017,
AUD-018,AUD-018,High,P1,Data Integrity,"Merge duplikat renstra_kegiatan tidak menjangkau semua tabel anak, menelan error diam-diam","Reklasifikasi FK ke 4 tabel anak tidak mencakup renjaItemPlanningModel.source_renstra_kegiatan_id dan renjaMappingSuggestionResultModel — baris ini jadi dangling reference setelah baris 'loser' di-DELETE. Error di-catch hanya console.warn, tanpa transaction/rollback.",backend/migrations/20260423120000-dedupe-renstra-kegiatan-duplicate-kode.js:23-99,Tambahkan reklasifikasi eksplisit untuk kedua kolom Renja sebelum DELETE; bungkus transaction; ganti catch-warn jadi throw.,Query orphan-check source_renstra_kegiatan_id pasca-migrate.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-018,
AUD-019,AUD-019,High,P1,Reliability,"Tidak ada audit trail di modul LK/BKU/Penatausahaan (post/void jurnal, CRUD BKU, tutup buku)","Modul RKA/DPA konsisten memanggil writePlanningAudit; modul LK/BKU/Penatausahaan sama sekali tidak, meski menangani posting jurnal/saldo kas/tutup buku.","backend/controllers/{lkJurnalController,lkBkuController,penatausahaanController,lkLraController}.js; services/bkuTutupBukuService.js","Terapkan pola writePlanningAudit/ApprovalLog yang sama seperti RKA/DPA ke seluruh mutasi jurnal, BKU, tutup buku.",Setiap create/update/destroy/post/void BKU & jurnal menghasilkan 1 baris audit event dengan old/new value.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-019,
AUD-020,AUD-020,High,P1,Security,GET RKA/DPA tidak difilter OPD; export PDF Pergeseran/DPPA lintas-OPD tanpa boundary check,"Operasi mutasi RKA/DPA sudah dilindungi boundary check, tapi operasi baca (getAll/getById) dan 2 endpoint export PDF tidak — user non-SUPER_ADMIN bisa lihat/unduh dokumen resmi OPD lain.","backend/controllers/rkaController.js:88-133; backend/controllers/dpaController.js:819-838; backend/controllers/dpaPergeseranController.js (exportPdfPergeseran, exportPdfSetelahPerubahanOpd)",Filter opd_id server-derived pada getAll/getById RKA/DPA; tambahkan assertDpaPergeseranOpdBoundary pada 2 endpoint export.,User OPD A GET/download dokumen OPD B → 403/data terfilter.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-020,
AUD-021,AUD-021,High,P1,Data Integrity,Fitur 'Terapkan' Reviu Konsistensi Cascading Renstra melewati validasi konsistensi RPJMD↔Renstra,"Jalur create/update normal Strategi/Kebijakan menolak (400) bila induk baru tidak konsisten dengan lineage RPJMD; endpoint terapkan memindahkan objek via Model.update langsung tanpa validasi ini, untuk level sasaran/strategi/arah_kebijakan.",backend/controllers/renstraReviewKonsistensiController.js:388-389,Panggil fungsi konsistensi yang sama dengan controller create/update masing-masing level sebelum Model.update.,Terapkan pindah Strategi ke Sasaran tidak konsisten → cascadingGapAuditService tidak menambah baris MISMATCH_*.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-021,
AUD-022,AUD-022,High,P1,Data Integrity,RenstraOPD.create() mereset is_aktif tenant-wide (regresi dari fix yang sudah diterapkan di setAktif),setAktif sudah diperbaiki (S6-01) agar deaktivasi di-scope opd_id; exports.create memakai where:{id:{Op.ne}} tanpa filter opd_id sama sekali — bug yang sama yang sudah pernah ditemukan & diperbaiki di fungsi sebelah.,backend/controllers/renstra_opdController.js:113-115 (vs setAktif:139-148),Terapkan pola deactivateWhere yang sama seperti setAktif ke exports.create.,Buat RenstraOPD baru OPD A → is_aktif RenstraOPD OPD B tidak berubah.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-022,
AUD-023,AUD-023,High,P1,Security,Endpoint impor Excel RPJMD writable oleh role PELAKSANA — tidak konsisten dengan endpoint RPJMD utama,"rpjmdRoutes.js membatasi create/update ke SUPER_ADMIN/ADMINISTRATOR, delete SUPER_ADMIN saja. rpjmdImportRoutes.js (konten substantif yang sama) mengizinkan role PELAKSANA untuk semua POST/PUT/DELETE.",backend/routes/rpjmdImportRoutes.js:10-103,Samakan kebijakan otorisasi write dengan rpjmdRoutes.js (SUPER_ADMIN/ADMINISTRATOR saja untuk write).,POST rpjmd-import dengan token PELAKSANA → 403.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-023,
AUD-024,AUD-024,High,P1,Security,Endpoint baca LHP/Temuan/Tindak Lanjut TLHP tidak menerapkan boundary OPD (berbeda dari endpoint tulis),Endpoint mutasi (create/update/submit/approve) memanggil resolveMrPlanningLhpOpdBoundary; endpoint GET (findAll/findById) tidak mengirim objek user ke service sama sekali.,backend/controllers/mrPlanningLhpController.js:46-62; mrPlanningTemuanController.js:28-44; mrPlanningTindakLanjutController.js:28-44,Terapkan boundary check yang sama (varian read-only) pada findAll/findById/findByLhp/findByRekomendasi.,Tambahkan ke opdBoundaryRegressionSelfTest.js kasus GET lintas OPD untuk LHP/Temuan/TindakLanjut.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-024,
AUD-025,AUD-025,High,P1,Security,Fitur baru Account Registry tidak diisolasi per tenant — kredensial lintas-tenant bisa diakses/didekripsi,"Tabel account_registry tidak punya tenant_id, tidak ada di whitelist, dan route mengizinkan role ADMINISTRATOR (role per-tenant). Semua query tanpa filter tenant.",backend/models/accountRegistryModel.js; backend/services/accountRegistryService.js; backend/routes/accountRegistryRoutes.js,Jika dimaksud registry global platform: batasi ke SUPER_ADMIN saja. Jika per-tenant: tambahkan tenant_id + whitelist.,"ADMINISTRATOR tenant tidak bisa akses account-registry sama sekali (jika SUPER_ADMIN-only), atau terisolasi per tenant.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-025,
AUD-026,AUD-026,High,P1,Security,Stored XSS pada Pratinjau HTML CALK — dangerouslySetInnerHTML tanpa sanitasi,"Konten bab CALK tersimpan bebas dari textarea, dirender via dangerouslySetInnerHTML tanpa sanitasi apa pun. DOMPurify terpasang di package.json tapi tidak pernah diimpor di seluruh frontend/src — ini satu-satunya pemakaian dangerouslySetInnerHTML di seluruh frontend.","frontend/src/features/lk/pages/CalkPage.jsx:297 (render), :277 (input textarea bebas HTML), :68-70 (load dari server)","Sanitasi kontenEdit dengan DOMPurify.sanitize() sebelum __html, idealnya juga di backend sebelum simpan.","Simpan bab dengan payload <script>/onerror, verifikasi Pratinjau tidak eksekusi setelah fix.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-026,
AUD-027,AUD-027,High,P1,Security,"Token JWT (access+refresh) dicetak mentah ke console pada setiap login, tidak di-strip di build produksi",console.log mencetak seluruh objek respons login (termasuk token & refreshToken mentah). vite.config.js tidak strip console.* saat build produksi.,frontend/src/features/auth/pages/Login.jsx:29; frontend/vite.config.js (tanpa esbuild drop console),"Hapus console.log ini + tambahkan esbuild:{drop:['console','debugger']} di vite.config.js untuk build produksi.","Build produksi, login, pastikan tidak ada log berisi token.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-027,
AUD-028,AUD-028,High,P1,Security,"Rekomendasi fix puppeteer dari npm audit adalah downgrade 5 major version, bukan upgrade",npm audit menyarankan fixAvailable versi 19.8.0 (isSemVerMajor true) untuk menutup extract-zip lama — jauh lebih lama dari versi terpasang 24.14.0. Versi terbaru sebenarnya 24.43.1 (patch dalam major sama).,backend/package.json (puppeteer@^24.14.0),"Upgrade manual ke puppeteer@24.43.1 (patch) dahulu, lalu re-audit.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-028,
AUD-029,AUD-029,High,P0,Security,Sequelize 6.37.7 — SQL Injection via JSON column cast type,GHSA-6457-6jrx-69cr — Sequelize v6 (>=6.0.0-beta.1 <=6.37.7) rentan SQL injection via cast type pada kolom JSON. CVSS 7.5.,backend/package.json (sequelize@^6.37.7),"Upgrade patch ke 6.37.8 (wanted/latest, non-breaking, risiko rendah) — SEGERA.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-029,
AUD-030,AUD-030,High,P1,Security,"xlsx (SheetJS) — Prototype Pollution & ReDoS, tanpa fix di npm",GHSA-4r6h-8v6p-xvw6 (Prototype Pollution CVSS 7.8) & GHSA-5pgg-2g8v-p4x9 (ReDoS CVSS 7.5) pada seluruh rentang versi npm (paket sudah pindah distribusi ke CDN SheetJS sendiri).,backend/package.json & frontend/package.json (xlsx@^0.18.5),"Tidak ada fix di npm registry — evaluasi migrasi ke rilis resmi SheetJS via CDN mereka, atau ganti sebagian use-case ke exceljs (sudah dipakai backend).",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-030,
AUD-031,AUD-031,High,P0,Security,"axios — kumpulan besar CVE (SSRF, prototype pollution, credential leak) di backend & frontend",">10 advisory pada axios <1.18.0/<1.16.0: SSRF via NO_PROXY bypass, prototype pollution, Proxy-Authorization header leak lintas redirect, DoS via formDataToJSON recursion.","backend/package.json (axios@^1.17.0); frontend/package.json (axios@^1.7.2, installed 1.9.0)","Upgrade non-major ke 1.20.0 (wanted/latest di kedua app) — risiko rendah, direkomendasikan tinggi.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-031,
AUD-032,AUD-032,High,P1,Security,react-router-dom / @remix-run/router — XSS via Open Redirect,"GHSA-2w69-qvjg-hvjx (XSS via Open Redirects CVSS 8) + beberapa CVE open-redirect tambahan (backslash bypass, protocol-relative //).","frontend/package.json (react-router-dom@^6.22.3, installed 6.30.1)","Upgrade patch ke 6.30.6 (wanted, dalam major 6.x) — risiko rendah.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-032,
AUD-033,AUD-033,High,P1,Test Coverage,"renjaStatusMigrationIntegrationSelfTest.js Fase 3 menyalin ulang logika migrasi, bukan memanggil implementasi asli (konfirmasi ulang)","Test 'baris desync direkonsiliasi' mendefinisikan ulang STATUS_TO_APPROVAL/STATUS_RANK inline, tidak pernah require() migrasi asli. Test 'baris sudah sinkron' bahkan vacuous (tidak menjalankan transformasi sebelum assert).",backend/scripts/renjaStatusMigrationIntegrationSelfTest.js:199-235,"require() dan panggil fungsi resolusi precedence asli dari migrasi/service, bukan menyalin ulang logika.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-033,
AUD-034,AUD-034,High,P0,Test Coverage,Sebagian besar self-test keamanan kritis TIDAK dijalankan otomatis di CI maupun dialiaskan di package.json,"Dari ~55 file self-test, CI hanya menjalankan 4. opdBoundaryRegressionSelfTest.js, csrfProtectionSelfTest.js, routeAuthHardeningSelfTest.js, signPdfSecuritySelfTest.js, tenantProvisioningVisibilitySelfTest.js, rpjmdApprovalSyncRegressionSelfTest.js, workflowAdminUnificationRegressionSelfTest.js — semuanya DB-independent tapi tidak dialiaskan/tidak ada di CI manapun.",.github/workflows/ci-generic.yml:61-75; backend/package.json,Tambahkan alias npm run test:* untuk file DB-independent tsb + step CI baru yang menjalankannya.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-034,
